title,url,domain,seendate,socialimage,language,category,company
"OJK catat piutang pembiayaan syariah Rp31 , 05 triliun di Januari 2026",https://www.antaranews.com/berita/5461279/ojk-catat-piutang-pembiayaan-syariah-rp3105-triliun-di-januari-2026,antaranews.com,20260308T134500Z,https://cdn.antaranews.com/cache/1200x800/2026/03/03/WhatsApp-Image-2026-03-03-at-18.40.25.jpeg,Indonesian,Finance,
Rencana Buyback Saham BBNI Dinilai Bisa Perkuat Kepercayaan Investor,https://money.kompas.com/read/2026/03/08/201500126/rencana-buyback-saham-bbni-dinilai-bisa-perkuat-kepercayaan-investor,money.kompas.com,20260308T134500Z,"https://asset.kompas.com/crops/sz8u2x9xsK97PNnLJ_Oo1yGn5vY=/9x0:743x490/1200x675/filters:watermark(data/photo/2026/01/30/697c815e7ef28.png,0,-0,1)/data/photo/2025/07/14/68750090e78c1.jpeg",Indonesian,Finance,
"With Two Young Kids , They Thought A Bigger Home Was The Answer . Now Their 3K Square Foot House Feels Like A Mistake . Downsize Again Or  Suck It Up ? ",https://www.yahoo.com/lifestyle/articles/two-young-kids-thought-bigger-123020955.html,yahoo.com,20260308T131500Z,https://s.yimg.com/os/en/benzinga_79/2344574d2afbf9082866c333ec025047,English,Finance,
"Natixis Advisors LLC Acquires 2 , 607 , 367 Shares of HDFC Bank Limited $HDB",https://www.tickerreport.com/banking-finance/13371759/natixis-advisors-llc-acquires-2607367-shares-of-hdfc-bank-limited-hdb.html,tickerreport.com,20260308T130000Z,,English,Finance,
Exyte : Schlüsselrolle für Halbleiter ( Finanztrends ) ,https://boerse-social.com/2026/03/08/exyte_schlasselrolle_far_halbleiter_finanztrends,boerse-social.com,20260308T130000Z,https://boerse-social.com/media/Content/CD_Image/image/121801/scalex/1000/scaley/550;.jpg,German,Finance,
É portuguesa e lidera um dos cargos mais altos da Bolsa do Luxemburgo,https://www.contacto.lu/reportagem/e-portuguesa-e-lidera-um-dos-cargos-mais-altos-da-bolsa-do-luxemburgo/138772568.html,contacto.lu,20260308T114500Z,https://img.contacto.lu/public/luxemburgo/sw9dvz-paula-redondo-pereira-head-of-g-16.jpg/alternates/SIXTEEN_NINE_1200/Paula-Redondo-Pereira--Head-of-G%2016.jpg,Portuguese,Finance,
"STRAH SE UVUKAO MEĐU GRAĐANE : Ako vlada ne interveniše , od utorka nastupa pakao sa cijenom goriva ... ",https://www.slobodna-bosna.ba/vijest/471031/strah_se_uvukao_medju_gradjane_ako_vlada_ne_intervenise_od_utorka_nastupa_pakao_sa_cijenom_goriva.html,slobodna-bosna.ba,20260308T113000Z,https://www.slobodna-bosna.ba/img/vijesti/2026/03/gorivo1_1.jpg,Croatian,Finance,
Carlo Nesti :  Juve : Pablito Yildiz può fare il centravanti ! ,https://www.tuttomercatoweb.com/la-scheda-di-carlo-nesti/carlo-nesti-juve-pablito-yildiz-puo-fare-il-centravanti-1990159,tuttomercatoweb.com,20260308T113000Z,https://tmw-storage.tcccdn.com/storage/tuttomercatoweb.com/img_notizie/thumb3/18/185b9348759852b0257b339232b41341-21114-oooz0000.jpeg,Italian,Finance,
"Ženy majú na investovanie talent , no stále ho nevyužívajú . Čo ich brzdí ? ",https://spravy.pozri.sk/clanok/zeny-maju-na-investovanie-talent-no-stale-ho-nevyuzivaju-co-ich-brzdi/1606182,spravy.pozri.sk,20260308T111500Z,https://spravy.pozri.sk/img/032026/3021416.jpg,Slovak,Finance,
Stop alle partite Iva apri e chiudi : il nuovo piano 2026,https://www.laleggepertutti.it/784043_stop-alle-partite-iva-apri-e-chiudi-il-nuovo-piano-2026,laleggepertutti.it,20260308T111500Z,https://www.laleggepertutti.it/wp-content/uploads/2026/03/partita-iva-pignoramento-fattura-fisco-controlli-evasione.jpg,Italian,Finance,
"SI VOULEZ DEBATTRE SUR LE DEBAT , CEST ICI ! ",https://latelelibre.fr/2007/05/les-themes-du-debat-televise-du-2-mai/,latelelibre.fr,20260308T111500Z,,French,Finance,
Analyzing National Australia Bank ( OTCMKTS : NABZY ) and Western New England Bancorp ( NASDAQ : WNEB ) ,https://www.themarketsdaily.com/2026/03/08/analyzing-national-australia-bank-otcmktsnabzy-and-western-new-england-bancorp-nasdaqwneb.html,themarketsdaily.com,20260308T110000Z,,English,Finance,
Lin Horn Aktie : Sektor - Dynamik entscheidend ( Finanztrends ) ,https://boerse-social.com/2026/03/08/lin_horn_aktie_sektor-dynamik_entscheidend_finanztrends,boerse-social.com,20260308T110000Z,https://boerse-social.com/media/Content/CD_Image/image/121801/scalex/1000/scaley/550;.jpg,German,Finance,
Quand Téhéran attaque son banquier,https://mondafrique.com/libre-opinion/quand-teheran-attaque-son-banquier/,mondafrique.com,20260308T110000Z,https://mondafrique.com/wp-content/uploads/2026/03/3.png,French,Finance,
